Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
Cambridge,Mascull,"Business Vocabulary in Use is suitable for intermediate and upper intermediate level learners of business English. Primarily designed as a self-study reference and practice book, it can also be used for classroom work. The book covers a wide range of business topics including Jobs, People and Organisations, Production, Marketing, Finance and the Economy and Business Culture. Business skills covered include Meetings, Negotiating and Presentations.",-,521547695,9780521547697,Business Vocabulary in use,Rs. 825.00,Paperback,172,-
-,-,,-,-,-,Cannabis Trips: A Global Guide That Leaves No Turn Unstoned (Pap,"Rs. 2,330.00",-,-,-
VERMILION,NAIA EDWARDS,,-,91923426,-,CARING FOR YOU BABY ,Rs. 450.00,-,72,-
Oxford University Press,Booth Martin,"Delightful insights into the legend, this biography is written with a deep sense of empathy with Jim Corbett and his life in the Indian jungles and villages.Jim Corbett (1875-1955) is legendary for his classic hair-raising tales of life in the Indian jungles. Corbett was an expert shikari, having shot his first leopard at the age of eight. From the mid-1920s he took up the camera and became a staunch champion of the conservation of India\'s wildlife. Corbett\'s deep love for India was fittingly honored when the National Park he helped establish at the foot of the Kumaon Hills was named after him.",1997,195624866,9780195624861,Carpet Sahib,Rs. 745.00,Paperback,-,18.8 x 12.7 x 1.8 cm
Ceylon Chamber of Comerce,S.S. Jayawickrama,"The Ceylon Chamber of Commerce, set up in 1839, is Sri Lanka's senior chamber of commerce, and is also one of the longest-established in the world. Chambers worldwide promote and protect enterprise, by acting as its spokesmen, providing a veriety of services, and harnessing the strengths of their members in the common interest. They are powerful collective institutions for facilitating business and economic growth. This Review narrates how the Ceylon Chamber of Commerce contributed to such growth in Sri Lanka. It is the first comprehensive account of the Chamber's long and eventful history.",-,9556040323,-,"Ceylon Chamber of Commerce, The: 1839-2004: A Historical Review","Rs. 4,500.00",-,200,26 x 28 x 2.5 cm
Cedar Books,Rajat Pillai,"His life and events have been a subject of controversy creating debates among historians for years Chandragupta Maurya came from humble beginnings plagued by poverty. However, this man's journey through life was going to be anything but ordinary. From being a farmer boy in an unknown village to being a palace attendant in the capital city of Patliputra. The narrative moves on to the untold story of what happened after Chandragupta became the king. From the battlefields of Kalinga to the wars fought in the plains east of River Indus. The book traces the life of a man whose life took sharp ups and downturns till he ventured into the path of spirituality. Spanning 36 years and events in 6 countries of today, this book seeks to tell the story which exists in bit-n-pieces in annals of history.",2011,8122312756,9788122312751,Chandragupta: Path Of A Fallen Demi-God ,Rs. 930.00,Paperback,296,-
-,-,,-,-,-,Change the Way You See Everything: Through Asset Based Thinking,"Rs. 3,265.00",-,-,-
-,-,,-,-,-,Change the Way You See Yourself: Through Asset-based Thinking (H,"Rs. 3,190.00",-,-,-
Laurence King Publishing,"Martin Salisbury,Morag Styles","Introduces us to the world of children's picturebooks, providing a background to the industry before going on to explore the key concepts and practices that have gone into the creation of picturebooks. This book covers the key stages of conceiving a narrative, creating a visual language and developing storyboards and design of a picturebook.",16 January 2012,185669738X,9781856697385,Children's Picture Books: The Art of Visual Storytelling ,"Rs. 2,895.00",Paperback,192,-
-,-,,-,-,-,Christmas,"Rs. 1,100.00",-,-,-
Little Brown and Company,Darren Shan,"As part of an elite force, Darren searches the world in a life or death mission to find the Vampaneze Lord. Author Darren Shan's vivid detail and original voice will continue to have young readers glued to their seats in horror.",-,316000981,-,Cirque Du Freak: Hunters of The Dusk,Rs. 545.00,Paperback,240,105x171x18mm
Portfolio,Erik Prince,"Forget everything you think you know about Blackwater. And get ready for a thrilling, true story that will make you rethink who the good guys and bad guys have been since 9/11.No company in our time has been as mysterious or as controversial as Blackwater. Founded by former Navy SEAL Erik Prince in 1997, it recruited special forces veterans and others with the skills and courage to take on the riskiest security jobs in the world. As its reputation grew, government demand for its services escalated and Blackwaters men eventually completed nearly one hundred thousand missions in Iraq and Afghanistan. Both the Bush and Obama administrations found the company indispensible.",2014-01-15,1591847214,9781591847212,Civilian Warriors: The Inside Story of Blackwater and the Unsung Heroes of the War on Terror ,"Rs. 3,000.00",Hardcover,416,-
-,-,,-,-,-,Classic Toys Of The National Toy Hall Of Fame: Celebrating The G,"Rs. 3,940.00",-,-,-
-,-,,-,-,-,Classic Yo-Yo,"Rs. 1,100.00",-,-,-
