Publisher,Author,Summary,Published Date,ISBN-10,ISBN-13,Book Title,Price,Binding,Pages,Product Dimensions
Social Scientists Association,A.P.Kanapathypillai,,-,-,9789551772970,The Epic of Tea,Rs. 500.00,-,164,150mm X 225mm
HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen","Mary-Kate has a huge crush on a boy named Jordan, but is too shy to tell him how she feels. So Ashley starts writing love letters for her and sends them to him. She's thrilled when Jordan writes back to Mary-Kate. His letters are so sweet and funny and romantic... uh, oh! She's fallen for him too!",2004,7158831,9780007158836,The Facts About Flirting (Two of a Kind Diaries) ,Rs. 850.00,Paperback,112,-
-,-,,-,-,-,The Freelance Photographer's Market Handbook 2011 (Paperback),"Rs. 2,900.00",-,-,-
Alchemy,Shibnath Basu,"Benaras is globally, one of the rare and oldest sites to have had continuous inhabitation. Being the spiritual capital of Hindu religion, the city has a unique character and attraction. There is no place like Benaras and there would not be one, ever. No wonder photographers from all over the world have been flocking here since last century to catch the spirit of Benaras. But Benaras never tires of them. It is forever old. Hence forever new. Shibnath Basu’s rare sense of poetic sensibility once again makes it amply clear why Benaras is inexhaustive, why one may have seen Benaras a hundred times over and yet one never tires of its sights and sounds.",2011,818046072X,9788180460722,The Ghats Of Benaras,"Rs. 3,260.00",Hardcover,108,-
-,-,,-,-,-,The Gipsy Kings - Greatest Hits,"Rs. 1,100.00",-,-,-
Author Publications,Upatissa Attygalle,,-,-,9789555344609,The Girl on the Billboard and other stories,Rs. 450.00,-,148,130mm X 195mm
Amy Schumer,Gallery Books,,2016-08-16,8172382,978-0008172381,The Girl with the Lower Back Tattoo,"Rs. 1,300.00",Paperback,336,-
HarperCollins,Alistair Maclean,A tense and nerve-shattering classic from the highly acclaimed masster of action and suspense. A ROLLING FOR KNOX is how the journalists describe the Presidential motorcade as it enters San Francisco across the Golden Gate. Even the ever-watchful FBI believes it is impregnable – as it has to be with the President and two Arab potentates aboard. But halfway across the bridge the unthinkable happens. Before the eyes of the world a master criminal pulls off the most spectacular kidnapping in modern times…,-,7252919,9780007252916,The Golden Gate ,"Rs. 1,475.00",Paperback,368,-
Routledge,Graham Music,Are we born selfish or primed to help others?,2014-05-14,1848722273,9781848722279,"The Good Life: Wellbeing and the new science of altruism, selfishness and immorality","Rs. 5,400.00",Paperback,256,-
-,-,,-,-,9780553819229,The Grand Design ,"Rs. 1,970.00",Paperback,-,-
LIFCO PVT LTD,-,,-,8187130008A,-,THE GREAT LIFCO DICTIONARY ,Rs. 750.00,-,1336,-
Wiley India Pvt. Ltd.,"M Burchell, J Robin",,2011,8126533056,9788126533053,"The Great Workplace: How To Build It, How To Keep It, And Why It Matters","Rs. 2,400.00",Paperback,247,-
Penguin,Namita Gokhale,"The Habit of Love is a collection of stories about the inner lives of women. Some of these women inhabit the ancient past, some the present day but they share the whimsical humour with which they speak of themselves. Journalist Madhu Sinha strikes up a friendship with a young man the same age as her indifferent children: a messenger swan relates the story of the doomed lovers Nala and Damayanti: Vatsala Vidyarthi suspects her one night stand of stealing her money. Delicately poised between irony and grief, The Habit of Love is both elegant and acute, arch and melancholic. In these moving stories she displays both sympathy and understanding as she unveils the workings of a woman s heart.",2012,014341772X,9780143417729,The Habit Of Love,"Rs. 1,160.00",Paperback,192,-
Marshall Cavendish,"Gina Lau, Sam Koh","The Hair Book is an essential guide to unpicking and deciphering everything that you ever wanted to know about hair. The book endeavours to help its readers understand their hair and give them insight into why their hair does the things that it does and aid readers in choosing appropriate hairstyles, colors and products for themselves. The book also helps readers to figure out what hair products they should use for their hair type and also what kinds of equipment they should buy to style their hair. The section DIY hairstyles will also be of particular interest to the readers who have always wanted to know how to achieve a certain hairstyle or look but never knew how. This section is accompanied by photos detailing each step. Essential topics include: - Choosing the right cut - Selecting the right colours - Picking the best hair products - Deciding on hair equipment",-,9812613471,9789812613479,The Hair Book,"Rs. 1,560.00",Paperback,128,23.1 x 17.5 x 1.8 cm
-,-,,-,-,-,The Hairy Bikers' 12 Days of Christmas: Fabulous Festive Recipes,"Rs. 2,940.00",-,-,-
-,-,,-,-,-,The Happiness Equation (Hardcover),"Rs. 2,700.00",-,-,-
-,-,,-,-,-,The Instant Millionaire: A Tale Of Wisdom And Wealth (Paperback),"Rs. 2,400.00",-,-,-
Arrow Books,John Grisham,Clay Carter gets involved in a horrendous conspiracy against one of the largest pharmaceutical companies which would make him the legal profession’s king of torts.,-,99416174,-,The King of Torts,Rs. 565.00,-,-,11 x 17.8cm
Harper Collins,Alistair Maclean,An undercover mission beyond the Iron Curtain to recover a defected scientist goes disastrously wrong -- a classic early Cold War thriller from the acclaimed master of action and suspense. Now reissued in a new cover style.,05 September 2005,7226349,9780007226344,THE LAST FRONTIER,"Rs. 1,475.00",Paperback,416,-
SARASAVI PUBLICATION,ANRADHA SENEVIRATHNA,,-,9555731543,-,THE LIONS AND TIGERS ,Rs. 200.00,-,87,-
LIFO PUBLISHERS PVT LTD,-,,-,-,-,THE LITTLE LIFO DICTIONARY ,Rs. 400.00,-,610,-
-,-,,-,-,-,The Lost Dogs: Michael Vick's Dogs And Their Tale Of Rescue And,"Rs. 4,500.00",-,-,-
Godage International Publishers Pvt. Ltd.,Tilak Balasuriya,,2008,955209142X,-,The love of the minister's daughter,Rs. 250.00,-,80,14.0 x 21.5 cm
Harper Collins USA,Sara Shepard,,-,-,9780062091543,The Lying Game,Rs. 750.00,-,14,135mm X 205mm
Abrams,Jody Duncan and Lisa Fitzpatrick,,2010-10-01,810997061,978-0810997066,"The Making of ""Avatar"" [Hardcover]","Rs. 3,700.00",Hardcover,272,30.1 x 24.2 x 2.5 cm
Running Press,Roy Thomas and Peter Sanderson,,2007-09-06,762428449,978-0762428441,The Marvel Vault: A Museum-In-A-Book With Rare Collectibles From,"Rs. 6,660.00",Hardcover,192,33 x 27 x 4.6 cm
Profile Business,"Benoit B Mandelbrot, Richard L Hudson","From the world-famous inventor of fractal geometry, a revolutionary new theory that turns on its head our understanding of how markets work.",14 October 2004,1861977654,9781861977656,The MIS Behaviour of Market,"Rs. 1,305.00",Hardback,325,23.6 x 15.6 x 3.6 cm
Perseus Books,Drew Struzan,,2004-04-18,762420839,978-0762420834,The Movie Posters Of Drew Struzan (Hardcover),"Rs. 3,940.00",978-0762420834,120,31 x 24 x 2 cm
Vermilion,Gina Ford,Provides practical advice to new parents that works from one of the UK's most respected and most talked about maternity nurses.,06 April 2006,91912695,9780091912697,The New Contented Little Baby Book: The Secret to Calm and Confident Parenting ,"Rs. 2,850.00",Paperback,368,8.4 x 5.3 x 1.1 inches
Piatkus,Nora Roberts,"The historic hotel in Boonsboro has endured war and peace, changing hands, even rumored hauntings. Now it's getting a major facelift from the Montgomery brothers and their eccentric mother. Beckett is the architect of the family, and his social life consists mostly of talking shop over pizza and beer. But there's another project he's got his eye on: the girl he's been waiting to kiss since he was fifteen. After losing her husband and returning to her hometown, Clare Brewster soon settles into her life as the mother of three young sons while running the town's bookstore. Busy, with little time for romance, Clare is drawn across the street by Beckett's transformation of the old inn, wanting to take a closer look . . . at the building and the man behind it. With the grand opening inching closer, Beckett's happy to give Clare a private tour - one room at a time. It's no first date, but these stolen moments are the beginning of something new - and open the door to the extraordinary adventure of what comes next . . .",-,-,9780749955366,The Next Always,"Rs. 1,930.00",-,341,150mm X 230mm
Harper Collins,Spencer Johnson,"Previously unpublished in the UK, this book shows how fathers can balance demands on their time to become the better parents to their children that they want to be and that their children deserve. With the pressures of 21st century working life an everyday topic of news and conversation, effective and rewarding advice for parents is more important than ever. The One Minute Father has become a buzzword of the current age, and this book is the quickest way to help your children learn to like themselves and to behave.",-,7367007,9780007367009,The One Minute Father,"Rs. 1,010.00",Paperback,112,-
Oxford University Press,Jim Corbett,"This is a richly illustrated anthology of the great hunter and conservationist's best writing, selected from his many popular works. The collection is meant to represent all phases of the great tiger hunter's life and adventures.",2004,019566874X,9780195668742,The Oxford India Illustrated Corbett,"Rs. 1,960.00",Paperback,304,10.04 x 7.4 x 0.77 inches
-,-,,-,-,-,The Portable Procrastinator Doodle Pad: Get Busy Wasting Time (P,"Rs. 1,600.00",-,-,-
Asian Education Services,P E Pieris,,1928,812061139X,-,The Prince Vijaya Pala Of Ceylon ,Rs. 465.00,-,66,-
Harper Collins,Prof. S. Radhakrishnan,"The classic modern translation and complete compilation of the ancient Hindu texts that have dominated Indian philosophy, religion, and life for three thousand years.",20 Mar 2006,8172231245,9788172231248,The Principal Upanishads ,"Rs. 2,000.00",Paperback,960,21.2 x 14 x 5.4 cm
Michael Joseph Ltd,Lesley Pearse,"It's London, 1914. Belle Reilly finally has the life she's dreamed of thanks to a devoted husband in Jimmy and the hat shop she's wanted to own since she was a child. But as the storm clouds of World War One begin to gather, Belle's already turbulent life is to change in ways she never imagined possible.",19 January 2012,718157044,9780718157043,The Promise,"Rs. 3,820.00",Hardback,528,-
Buddhist Publication Society,N K G Mendis,,1993,9552400678,-,The Questions Of King Milinda - An Abridgement Of The Milindapanha ,Rs. 300.00,-,194,-
-,-,,-,-,-,The Rational Optimist: How Prosperity Evolves [Paperback],"Rs. 2,700.00",-,-,-
Shree Book Centre,"Louise A Langley, Ahqulieah","T is said that some lives are connected by an ancient magic, linked across time by a great love and calling that echoes through the ages. It is said that this calling is the greatest alchemy of all, The sacred quest. Two girls, One calling, One maraculous destiny. This book, based on a true story, is a trail of synchronicity, evidence, decoding and revelation of a universal phenomenon hidden within the etymology of many ancient texts, civilisations, philosophies, theosophy, mythologies, religions, hermetic and Masonic writings, empirical science and alchemical tracts such as the Philosopher's Stone. Within the pages of this extraordinary book lies a unique and personal invitation to your own calling. As you begin to uncover that calling, your own Sacred Quest, you will come to know who you really are and what miraculous destiny true awaits you.",2012,190643705X,9781906437053,The Sacred Quest,"Rs. 1,965.00",paperback,-,-
Coronet Books,Rupert Sheldrake,The scientific counterargument to Richard Dawkin's The God Delusion,05 January 2012,1444727923,9781444727920,The Science Delusion,Rs. 540.00,Hardback,400,23.6 x 16.2 x 3.8 cm
Simon & Schuster Ome,Zahid Hussain,,2010-11-01,1439120250,978-1439120255,The Scorpion's Tail: The Relentless Rise of Islamic Militants in,"Rs. 3,500.00",Hardcover,256,22.6 x 15.7 x 2.8 cm
-,-,,-,-,-,"The South Park Episode Guide, Volume 1: Seasons 1-5 (Paperback)","Rs. 2,330.00",-,-,-
-,-,,-,-,-,"The South Park Episode Guide, Volume Two: Seasons 6-10 (Paperbac","Rs. 2,330.00",-,-,-
Createspace,Brian Rienzie Wicklin,"This book is about Rene who lived in Kalapaluwawa a village in Sri Lanka, the island country off the southern coast of India that was once known as Ceylon. Brian Wicklin is the author and the next youngest of Rene's 6 children. He lives in Sweden. The book spells out the emotionally compelling story about his mother and the troublesome life she endured living with her husband, how it all ended in the most unusual of ways, her departure for London not being able to say goodbye to her children and not knowing anyone who was out there to meet her. Against all odds in its favour she met her children one by one as grown-ups 15 to 20 years after her departure. The story that is told starts around the early years of the previous century and ends in the Isle of Wight in 1973.",2014-11-15,1505951488,9781505951486,The story about Rene,"Rs. 3,850.00",Paperback,146,-
Bantam BoBantam Books,Robert Winston,"Robert Winston is one of the country's best-known scientists. As Professor of Fertility Studies at Imperial College, University of London, and Director of NHS Research and Development and Consultant Obstetrician and Gynaecologist at Hammersmith Hospital, he has made advances in fertility medicine and been a leading voice in the debate on genetic engineering. His television series include Making Babies, The Human Body, Human Instinct, Walking with Cavemen, The Human Mind and Child of Our Time and have made him a household name across Britain. He became a life peer in 1995. His most recent books, Human Instinct and The Human Mind, are also published by Bantam Books.",-,-,9780553817430,The Story of God,"Rs. 1,270.00",-,476,125mmX200mm
-,-,,-,-,-,The Stranger,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,The Subgenius Psychlopaedia Of Slack: The Bobliographon (Paperba,"Rs. 2,570.00",-,-,-
 Simon & Schuster,Rupi Kaur,,2017-10-03,1471165825, 978-1471165825,The Sun and her flowers,"Rs. 1,500.00",Paperback,256,-
Harper Collins Religious,-,The official new Sunday Missal in a classically beautiful blue imitation leather binding.,2011-12-22,7456298,9780007456291,The Sunday Missal: The New Translation of the Order of Mass for Sundays,"Rs. 3,100.00",Hardcover,1200,-
BLOOMSBURY PUBLICAIONS,J.K.ROWLING,,-,747599876,-,THE TALES OF BEEDLE THE BARD ,"Rs. 1,200.00",-,108,-
penguin books,"Sophocles, E. F. Watling",,26 April 1973,140440038,9780140440034,The Theban Plays,Rs. 660.00,Paperback,176,130mmX195mm
HarperCollins Publishers Ltd,Wayne Gould,,01 December 2009,7832664,9780007832668,THE TIMES SU DOKU BOOK 1,Rs. 770.00, Paperback,35,17.4 x 11.2 x 1.2 cm
HarperCollins Publishers Ltd,Wayne Gould,,01 December 2009,7832656,9780007832651,THE TIMES SU DOKU BOOK 2 ,Rs. 770.00,Paperback,-,-
HarperCollins Publishers Ltd,Wayne Gould,,01 December 2009,7832656,9780007832644,THE TIMES SU DOKU BOOK 3,Rs. 770.00,Paperback,-,-
HarperCollins Publishers Ltd,Wayne Gould,,01 December 2009,000783263X,9780007832637,THE TIMES SU DOKU BOOK 4,Rs. 770.00,Paperback,-,-
Times Books,Wayne Gould,The first Times Su Doku book sparked a worldwide publishing phenomenon -- sales have topped 4 million copies worldwide since March 2005.,23 June 2011,7451857,9780007451852,The Times Su Doku Book 5: The Original Best-selling Puzzle,Rs. 770.00,Paperback,192,-
Times Books,-,"To feed the nation's addiction further, here is the sixth installment of The Times Su Doku puzzles.", 23 June 2011,7451865,9780007451869,The Times Su Doku Book 6 ,Rs. 770.00,Paperback,256,-
Times Books,-,"With the massive appetite for Su Doku puzzles seemingly insatiable, The Times brings you another offering to satisfy those cravings.",23 June 2011,7451873,9780007451876,The Times Su Doku Book 7,Rs. 780.00, Paperback,256,-
Harper Collins,-,The eighth installment of the best-selling Times Su Doku series to feed the nation's desire for yet more Su Doku puzzles., 23 June 2011,7451881,9780007451883,The Times Su Doku Book 8 ,Rs. 770.00,-,256,-
Harpercollins,Charles Cumming,Europe is still littered with the darkest secrets of the Cold War. And the most deadly revelation of them all is about to be made!,2011,7337787,9780007337781,The Trinity Six ,"Rs. 1,665.00",Paperback,416,-
Perseus Books,The Editors of TV Guide,,2007-09-18,762430079,978-0762430079,The TV Guide Book of Lists (Paperback),"Rs. 2,700.00",Paperback,288,22.4 x 15.2 x 2.3 cm
Grand Central,James Redfield,,-,-,9781455509010,The Twelfth Insight,Rs. 840.00,-,256,115mmX175mm
HARPER COLLINS PUBLISHERS,-,,-,1409531180E,-,THE USBORNE CHILDRENS ENCYCLOPEDIA ,"Rs. 2,300.00",-,320,-
Natraj Publishers,Frank S. Smythe,,2001,8181581407,9788181581402,THE VALLEY OF FLOWERS ,"Rs. 1,500.00",Paperback,-,-
-,-,,-,-,-,The Very Best of Firehouse,"Rs. 1,100.00",-,-,-
Rupa Publications,R. K. Narayan,"Over a career spanning seven decades, R.K. Narayan, easily one of the most influential and important writers of India, populated the fictional town of Malgudi with a host of unforgettable characters: Swami and his gang of friends, the Talkative Man, Raju the guide and Sampath the printer, among many others. These characters have carved out a place for themselves in popular imagination and live on, still fresh and endlessly entertaining, many decades after they first appeared.",2014-01-15,8129131021,9788129131027,The Very Best of R. K. Narayan Timeless Malgudi : Selected Fiction and Non - Fiction ,"Rs. 1,650.00",Paperback,400,-
Foundation For Co-Existence,Kumar Rupesinghe,"This book consists the speeches delivered in numerous countries in Africa, Asia, Europe and the USA.",-,9551358242,-,The Voice,Rs. 500.00,-,256,210 x 147 x 14 mm
Buddhist Publication Society,Soma Thera,"The way of mindfulness is the objective way of viewing anything whatsoever. It reckons just what is present and stopping the garrulity of one's own mind. It lets the objects speak for themselves and unfold their character also, by its patient pursuit of the meaning of things, its readiness to see every side of any thought or experience, and by its breadth and tolerance. It predisposes the mind to receive the impressions of the truth, includes inner pliancy and the mood of spiritual receptivity, necessary for highest intuition.",1941,9552402565,-,The Way Of Mindfulness ,Rs. 225.00,-,156,-
-,-,,-,-,-,The Way of the Wiseguy: The FBI's Most Famous Undercover Agent C,"Rs. 2,200.00",-,-,-
Rama Brothers,Bisaria,,2009,8175812583,9788175812581,The Way Of The World,Rs. 395.00,Paperback,-,-
Wiley India Pvt Ltd,"Dafydd Stuttard, Marcus Pinto",,2011,8126533404,9788126533404,The Web Application Hacker'S Handbook: Finding And Exploiting Security Flaws ,"Rs. 3,150.00",Paperback,912,-
-,-,,-,-,-,The Wisdom of Bees: What the Hive Can Teach Business about Leade,"Rs. 2,700.00",-,-,-
HarperCollins Publishers Ltd,Gelb Kichael,"New edition, including a new introduction by the author, of this inspiring guide to developing your full potential. A perfect buy for the business market as well as those wishing to explore their power of their brain, this book shows you how to imitate Leonardo Da Vincis thought processes and so enhance your aptitude in every area of your life. Learn how to fulfill your true potential by developing the thought processes used by Renaissance master Leonardo Da Vinci. Simply by imitating hisinsatiable quest for information and experience, we can all enhance our own aptitude in all facets of our lives. Michael Gelb discusses the seven fundamental elements of Da Vincis thought process and offers practical ways to incorporate them into our own lives. The techniques outlined in the book help readers to develop the same traits of whole-brain thinking, creative problem solving and continuous learning, all of which are vital in todays world. Numerous exercises, anecdotes and illustrations help readers to master these techniques and create a personal and professional renaissance of their very own.", 23 July 2009,7341695,9780007341696,Think Like Da Vinci,"Rs. 1,500.00",Paperback,336,-
Ravaya,Latheef Farook,,-,-,-,Thrasthawadayata erehi uddaye sebe muhunuwara,Rs. 600.00,-,557,-
ARROW BOOKS LTD,James Patterson,,2011-11-24,99553767,9780099553762,Tick Tock,Rs. 690.00,Paperback,484,110mm X 180mm
Harper Collins,Doris Lessing,Assembled here for the first time in book form are the very best of several decades' worth of occasional writings from perhaps the best-loved and most-admired of Britain's great female writers.,2005,7179863,9780007179862,Time Bites,Rs. 900.00,Paperback,384,-
sterling publisher,-,"The best and most effective way to develop language skills in children is through the medium of stories. Retold in simple language for young readers, the fascinating stories in this book will keep them engrossed for hours.",-,8120757777,9788120757776,Timeless Stories,Rs. 830.00,-,19,220mm X 290mm
Riverhead Books,Daniel H Pink,,2012-01-31,159448628X,9781594486289,To Sell Is Human - Exp: The Surprising Truth about Moving Others,"Rs. 3,240.00",Paperback,256,-
-,-,,-,-,-,To the Point: The No-holds-barred Autobiography (Paperback),"Rs. 1,800.00",-,-,-
HarperCollinsChildren'sBooks,"Mary-kate Olsen, Ashley Olsen","Mary-Kate and Ashley star as twins Chloe and Riley Carlson in this new series, based on the hit TV show, ""So Little Time"".",2002,7144490,9780007144495,Too Good To Be True:mary Kate & Ashley,Rs. 850.00,Paperback,128,-
-,-,"TOP HAT, WHITE TIE &amp: TAILS, FRED ASTAIRETrack List:Disc 1:1. Top Hat, White Tie And Tails  2:35 2. Cheek To Cheek  3:19 3. No Strings  2:34 4. Isn't This A Lovely Day  3:16 5. The Piccolino  3:18 6. Fascinating Rhythm Feat. Adele Astaire &amp: George Gershwin  2:24 7. Funny Face Feat. Adele Astaire  3:07 8. My One And Only  3:02 9. Puttin' On The Ritz  2:36 10. Crazy Feet  2:54 11. New Sun In The Sky  2:55 12. Night And Day  3:14 13. We're In The Money (the Gold Diggers Song)  2:16 14. Flying Down To Rio  2:52 15. Let's Face The Music And Dance  2:29 16. I'm Putting All My Eggs In One Basket  2:49 17. We Saw The Sea  2:22 18. Let Yourself Go  2:41 19. I'd Rather Lead A Band  2:30 20. I'm Building Up To An Awful Let Down  3:05 21. The Way You Look Tonight  3:07 22. Never Gonna Dance  3:13 23. Pick Yourself Up  2:59 24. A Fine Romance  2:51 25. Bojangles Of Harlem  3:02 Disc 2: 1. They Can't Take That Away From Me  3:07 2. They All Laughed  2:48 3. I've Got Beginner's Luck  2:53 4. Let's Call The Whole Thing Off  3:14 5. Shall We Dance  2:33 6. Slap That Bass  2:58 7. A Foggy Day  2:53 8. Things Are Looking Up  3:13 9. Nice Work If You Can Get It  2:45 10. I Can't Be Bothered Now  2:26 11. Change Partners  3:08 12. I Used To Be Colour Blind  3:01 13. Yam, The  2:42 14. Who Cares? Feat. Benny Goodman  2:52 15. Just Like Taking Candy From A Baby Feat. Benny Goodman  2:49",-,-,-,"TOP HAT, WHITE TIE & TAILS, FRED ASTAIRE",Rs. 800.00,-,-,-
Perseus Books,Chris George,,2006-09-12,762428082,9780762428083,Total Digital Photography: Everything You Need To Know From Begi,"Rs. 5,160.00",Paperback,320,25.6 x 18.5 x 2.5 cm
-,-,,-,-,-,Towers of Midnight (Wheel of Time) [Hardcover],"Rs. 3,400.00",-,-,-
Cambridge International Science Publishing,Scott Jasper,,2010,8130912449,9788130912448,Transforming Defense Capabilities,"Rs. 3,300.00",-,-,-
HarperCollins,Clive Cussler,"Classic Dirk Pitt adventure, where the adventurer is drawn to the burning African desert, and a secret that could destroy all life in the world's seas. Deep in the African desert, Pitt discovers that a top-scinetific installation is leaking a lethal chemical into the rivers, threatening to kill thousands of people -- and to destroy all life in the world's seas. To warn the world of catastrophe, Pitt must escape capture and death at the hands of a ruthless West African dictator and French industrialist, and undertake a long, perilous journey across the merciless Sahara!",1989,7353294,9780007353293,Treasure ,"Rs. 1,865.00",Paperback,608,-
-,-,,-,-,-,Turnstiles,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Twelve Deadly Cyns...And Then Some,"Rs. 1,100.00",-,-,-
Harper Collins Publishers Ind Ltd,"Mary-kate Olsen, Ashley Olsen","Oh no! Mary-Kate and Ashley have to do history projects. But Ashley's found a way to make her project fun - she's partners with Pokey Valentine, the boy of her dreams. It's the perfect way to get close to him. The only problem is, Pokey would rather get close to someone else... Mary-Kate!",2002,7144776,9780007144778,Two Of A Kind One Twin Too Many,Rs. 790.00,Paperback,112,-
 Harper Collins,"Mary-kate Olsen, Ashley Olsen",Mary-Kate and Ashley know there's only room for one Prom Princess at White Oak -- so who will it be?,2004,7158904,9780007158904,Two Of A Kind Prom Princes,Rs. 755.00,Paperback,112,-
-,-,,-,-,-,Under the Red Sky,"Rs. 1,100.00",-,-,-
Wiley India Pvt Ltd,"STEPHEN LAMBERT, ELI HOLZMAN",,2012,8126534257,9788126534258,UNDERCOVER BOSS: INSIDE THE TV PHENOMENON THAT IS CHANGING BOSSES AND EMPLOYEES EVERYWHERE,"Rs. 1,900.00",Paperback,272,-
-,-,,-,-,-,Underneath,"Rs. 1,100.00",-,-,-
Sage India,"Kiran B Chhokar, Mamata Pandya, Meena Raghunathan","Designed as a basic text for foundation and undergraduate courses in Environmental Studies, this book introduces students to key scientific concepts related to environment and sustainable development. It provides a comprehensive understanding of environmental concerns and issues with special reference to the Indian context. The primary objective of the book is to create an awareness of the environment. It conceptualizes the environment as a multidimensional and complex living system and describes the interlinkages that make up this system. The presentation is supported by relevant examples and case studies to contextualize the information given. Questions and self-learning exercises are provided at the end of each chapter to assist students to understand and apply the content in their immediate environment.",08 November 2004,761932771,9780761932772,Understanding Environment,Rs. 845.00,Paperback,336,9.22 x 7.12 x 0.58 inches
Harper Voyager,Stacia Kane,"The first book in a compelling new urban fantasy series, The Downside Ghosts. Murderous spirits and ruthless drug dealers combine to create serious problems for fiercely independent heroine, Chess, in these fast-paced, sexy and addictive novels. If you liked the compelling characters in 50 Shades of Grey, you'll love the Downside Ghosts series.",2010,7352816,9780007352814,Unholy Ghosts,"Rs. 1,665.00",Paperback,352,7.8 x 5.08 x 0.91 inches
Harper Voyager,Stacia Kane,"The second book in this edgy urban fantasy trilogy. If you liked the compelling characters in 50 Shades of Grey, you'll love the Downside Ghosts series.",2010,7343256,9780007343256,Unholy Magic,"Rs. 1,665.00",Paperback,352,7.72 x 5 x 0.91 inches
-,Shirin Ebadi,,2016-03-21,1846045010,9781846045011,Until We Are Free,"Rs. 2,600.00",-,Paperback,-
Suwanda Sugunasiri,Suwanda Sugunasiri,,-,-,9780986719806,Untouchable Woman's Odyssey,Rs. 350.00,-,366,145mmX215mm
Upscportal Publications,Sachchida Nand Jha,,2012,9381362372,9789381362372,UPSC Portal: CSAT Comprehensive Manual: IAS Preliminary (Part-2),"Rs. 2,500.00",Paperback,850,-
"Grey Oak,Westland",Paritosh Uttam,"Edited by bestselling author, Paritosh Uttam, this anthology offers snapshots of interesting characters in Urban India. The ten-year-old mathematics loving girl, haunted by memories of her dead mother. The man who buys expensive gifts for married women: an Indian kid who can name every American state in alphabetical order: a boy who knows more than he should about the extra marital affairs of his parents: a baby with secrets of his own: the pesky Maami in the neighbourhood, with a cure for every ailment: the beefy sportsman with a peacock hairstyle: the seven-year-old who wants to get married: a retiree on his last day in a dead end job: the salesman who fails to meet his targets: the grouchy physics teacher with a love for literature: the chatty cab driver who was once a film maker: the philosophical mehndiwala on the sidewalk: a struggling artist in love with his fabled city: the retired pilot with life advice in the window seat and a lot more....",2012,9381626412,9789381626412,Urban Shots: Bright Lights ,Rs. 990.00,Paperback,220,-
"Grey Oak,Westland",Ahmed Faiyaz,"Edited by bestselling author, Ahmed Faiyaz, this anthology explores the conflict, chaos and confusion in the lives of interesting and colourful characters in Urban India. The reclusive kid with a beautiful bicycle: a migrant to Mumbai with Old Monk on his breath, trying to get off a Virar Fast at Borivali: the misunderstood watchman at the library who befriends a little girl:a playstation loving spoilt brat, who is smitten by his mathematics tutor: an old widower who longs for some intimacy with the opposite sex: a confused writer who has to choose between his wife and a seductress: the gargoyle who is the boss s pet at a call centre: a mild-mannered doctor whose love for yoga puts him on breaking news: a project manager who hates handing out the pink slip: an emotionally scarred woman in the bazaars of Kamathipura: the baraat on a silent night in a one-horse town in Rajasthan: the neighbourhood didi with dark secrets of her own and a lot more.. Racy, compelling and heart rending stories by popular writers such as Pantosh Uttam, Reeti Gadekar, Sharath Komarraju, Malcolm Carvahlo, and a number of popular bloggers and debutant writers.",2012,9381626429,9789381626429,Urban Shots: Crossroads,Rs. 990.00,Paperback,228,-
-,-,,-,-,-,Vanished Kingdoms: The History of Forgotten Europe (Hardback),"Rs. 4,250.00",-,-,-
Faber and Faber,D. B. C. Pierre,,2004-05-06,571215165,9780571215164,Vernon God Little ,"Rs. 1,250.00",Paperback,288,-
-,-,,-,-,-,Very Best Of Macy Gray,"Rs. 1,100.00",-,-,-
-,-,,-,-,-,Vidal: The Autobiography [Hardcover],"Rs. 3,300.00",-,-,-
Rama Brothers India Pvt Ltd,"Vaidyanathan G,Rama Brothers India Pvt Ltd,9788175812598",,2008,8175812591,9788175812598,Village By The Sea: Anita Desai,Rs. 330.00,Paperback,-,-
Wiley India Pvt. Ltd.,David Sibbet,,2011,8126533714,9788126533718,"Visual Teams: Graphic Tools For Commitment, Innovation, And High Performance ","Rs. 2,000.00",Paperback,286,-
Studymates Limited,Chris Sangster,,2010,8130913054,9788130913056,Viva Studymates: Growing Workplace Champions ,"Rs. 1,285.00",-,-,-
-,-,,-,-,-,Voice of an Angel,"Rs. 1,100.00",-,-,-
Foundation for Co-existence,Kumar Rupesinghe,A collection of papers from 2002 - 2008 on War and Peace in the country.,-,-,9789551358181,Waging Peace,Rs. 500.00,-,454,206 x 146 x 20 mm
Penguin Books Ltd,"Aristophanes,D. Barrett","This collection contains ""The Wasps"", one of Aristophanes' earliest plays, ""The Poet and the Women"", a gem of parody and low comedy, and ""The Frogs"", a comic masterpiece written under the shadow of defeat.",28 May 1970,140441522,9780140441529,Wasps Poet and the Women,"Rs. 1,415.00",Paperback,224,17.8 x 10.9 x 1.3 cm
The Perseus Books Group,Thomas Sowell,,2015-09-08,465082939,9780465082933,"Wealth, Poverty and Politics","Rs. 6,100.00",Hardcover,-,-
-,-,,-,-,-,Weird Cures (Paperback),"Rs. 1,400.00",-,-,-
Spruce,Jon Izzard,,02 October 2009,1846013461,9781846013461,Werewolves,"Rs. 1,300.00",Paperback,192,190mmX235mm
